GROUP_SET,GROUP_ID,GROUP_NAME,player_1,player_2,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,PIS,edge_strength
Lineups,-1630700-1631243-,D. Daniels - M. Gueye,D. Daniels,M. Gueye,1610612737,ATL,29,14,15,0.483,376.12666666666667,365,744,0.491,114,300,0.38,102,138,0.739,98,271,369,252,120,102,51,48,122,123,946,87,1269,1247,4016,2646,1003,868,923,1189,917,987,1505,1278,1227,3588,872,931,910,792,4400,555,725,4540,4100,1183,919,338,0.6835463230472005,4.055194008616174
Lineups,-1630168-1631243-,O. Okongwu - M. Gueye,O. Okongwu,M. Gueye,1610612737,ATL,29,13,16,0.448,371.24333333333334,353,731,0.483,109,294,0.371,100,135,0.741,99,261,360,245,122,98,48,51,129,122,915,65,1269,1349,4143,2869,1019,898,942,1465,960,1009,1880,1299,1259,3556,857,960,936,821,4418,603,782,4591,4191,1191,952,444,0.6105160137555782,3.613978703070563
Lineups,-1629027-1630552-,T. Young - J. Johnson,T. Young,J. Johnson,1610612737,ATL,34,17,17,0.5,923.5566666666666,858,1774,0.484,244,662,0.369,420,539,0.779,234,641,875,586,301,187,118,127,358,430,2380,98,1012,977,4262,2195,246,214,221,1436,288,298,1958,130,122,2483,205,250,230,182,5140,169,162,5227,5081,152,202,297,0.5066824991788991,3.4602940591628877
Lineups,-1631243-1642258-,M. Gueye - Z. Risacher,M. Gueye,Z. Risacher,1610612737,ATL,31,15,16,0.484,379.15833333333336,367,741,0.495,113,295,0.383,96,133,0.722,92,261,353,247,127,98,48,49,134,113,943,57,1159,1153,4143,2643,993,863,928,1055,930,1005,1414,1361,1274,3874,933,960,962,809,4462,603,782,4560,4232,1276,921,478,0.5690234950218686,3.3803340509936524
Lineups,-1629631-1630552-,D. Hunter - J. Johnson,D. Hunter,J. Johnson,1610612737,ATL,25,15,10,0.6,473.56333333333333,409,870,0.47,122,339,0.36,282,350,0.806,108,347,455,279,156,99,63,59,170,264,1222,74,1558,1153,3223,1599,771,761,775,2045,853,858,2294,350,367,1643,772,695,712,704,4656,587,527,4743,4472,468,684,388,0.5422717130408463,3.3416925380794757
Lineups,-1629027-1630168-,T. Young - O. Okongwu,T. Young,O. Okongwu,1610612737,ATL,70,32,38,0.457,1405.9816666666666,1302,2687,0.485,416,1116,0.373,620,772,0.803,349,930,1279,875,452,307,156,147,545,609,3640,96,69,350,5256,2806,79,72,72,1402,66,67,1801,28,34,1710,56,98,81,55,5278,26,56,5265,5255,52,60,305,0.45658490094109816,3.309876189373248
Lineups,-1627777-1630168-,G. Niang - O. Okongwu,G. Niang,O. Okongwu,1610612737,ATL,28,14,14,0.5,345.965,334,661,0.505,121,295,0.41,140,176,0.795,75,225,300,223,101,63,33,19,144,140,929,53,1343,1247,3884,2195,1097,959,1064,704,865,1005,754,927,955,1989,1170,1136,1141,919,4195,1003,1109,3372,4299,1030,937,502,0.5397944878817222,3.1573788251693538
Lineups,-203991-1630552-,C. Capela - J. Johnson,C. Capela,J. Johnson,1610612737,ATL,35,18,17,0.514,639.3666666666667,604,1263,0.478,157,433,0.363,215,298,0.721,182,460,642,424,215,142,69,95,234,265,1580,36,983,918,4262,2178,513,450,458,1688,618,620,2192,552,489,3879,335,471,432,377,4919,313,462,5076,4776,465,486,687,0.48211772066107084,3.115464443491775
Lineups,-1627747-1630168-,C. LeVert - O. Okongwu,C. LeVert,O. Okongwu,1610612737,ATL,26,13,13,0.5,408.6283333333334,388,771,0.503,114,304,0.375,163,212,0.769,94,284,378,261,116,73,38,33,156,157,1053,45,1485,1349,3741,2195,907,813,888,742,917,980,1661,781,775,2790,915,882,889,761,4356,846,982,4140,4391,901,817,580,0.5122013892004551,3.081019531626413
Lineups,-1629027-1629631-,T. Young - D. Hunter,T. Young,D. Hunter,1610612737,ATL,35,18,17,0.514,725.8416666666667,647,1366,0.474,222,597,0.372,372,470,0.791,168,496,664,442,234,146,76,79,276,364,1888,64,983,918,4262,2178,411,392,400,1891,362,370,1837,173,181,2110,390,417,409,352,4985,294,400,4969,4913,240,346,449,0.4669062352900656,3.076309157642214
Lineups,-1629027-1630700-,T. Young - D. Daniels,T. Young,D. Daniels,1610612737,ATL,72,34,38,0.472,1861.8583333333331,1734,3616,0.48,510,1394,0.366,707,902,0.784,495,1245,1740,1173,611,415,200,217,697,739,4685,17,44,296,5256,2712,18,16,14,1629,23,17,2062,11,9,2336,5,25,17,11,5322,2,6,5318,5313,15,16,1059,0.40609964059206083,3.0578764145851296
Lineups,-1629726-1630552-,G. Mathews - J. Johnson,G. Mathews,J. Johnson,1610612737,ATL,22,11,11,0.5,280.9816666666667,246,520,0.473,88,236,0.373,136,171,0.795,60,204,264,175,93,54,39,27,108,139,716,42,1776,1599,3419,2195,1338,1292,1338,1918,1193,1251,1795,951,989,2001,1456,1240,1297,1156,4100,1167,953,3858,3939,1046,1214,622,0.5414944035494607,3.0550258995778723
Lineups,-1629027-1631243-,T. Young - M. Gueye,T. Young,M. Gueye,1610612737,ATL,28,13,15,0.464,383.265,366,760,0.482,121,316,0.383,129,163,0.791,105,251,356,246,117,100,49,50,153,145,982,31,1343,1349,4016,2762,983,866,896,1527,865,927,1423,1014,1050,2112,801,1011,954,814,4363,574,757,4573,4362,989,883,743,0.49861062189346794,2.96739755840371
Lineups,-1630168-1630700-,O. Okongwu - D. Daniels,O. Okongwu,D. Daniels,1610612737,ATL,70,34,36,0.486,1522.9316666666666,1414,2915,0.485,432,1170,0.369,556,712,0.781,398,982,1380,949,502,331,157,154,599,571,3816,-1,69,296,5216,2633,56,46,44,1384,56,53,1932,49,52,2439,30,74,58,38,5302,13,54,5274,5289,72,44,2381,0.3818621759129049,2.7986865592171926
Lineups,-1627747-1630700-,C. LeVert - D. Daniels,C. LeVert,D. Daniels,1610612737,ATL,26,13,13,0.5,467.345,435,881,0.494,122,337,0.362,181,231,0.784,107,330,437,290,138,89,43,42,180,173,1173,29,1485,1349,3741,2195,780,708,759,1103,853,865,2212,687,695,2351,787,750,755,670,4538,686,869,4405,4532,821,729,767,0.4546962094384233,2.7960202972366592
Lineups,-1630549-1641787-,D. Sharpe - T. Evbuomwan,D. Sharpe,T. Evbuomwan,1610612751,BKN,19,7,12,0.368,264.24666666666667,232,504,0.46,57,186,0.306,64,94,0.681,97,184,281,135,85,40,26,27,116,89,585,68,2022,2213,3591,3414,1415,1370,1373,2535,1714,1538,3949,1857,1714,4280,879,1367,1208,1484,3986,1534,1402,3858,4029,1587,1475,419,0.5969800943562833,3.331543059126708
Lineups,-203471-1627827-,D. Schröder - D. Finney-Smith,D. Schröder,D. Finney-Smith,1610612751,BKN,17,6,11,0.353,378.305,333,664,0.502,140,328,0.427,144,166,0.867,59,234,293,223,110,54,30,37,172,153,950,62,2214,2416,3419,3481,996,963,1057,778,715,894,582,893,1028,623,1479,1085,1161,919,4297,1167,1236,4292,4493,932,910,459,0.48796605913218166,2.8977086753889947
Lineups,-1627827-1629661-,D. Finney-Smith - C. Johnson,D. Finney-Smith,C. Johnson,1610612751,BKN,19,7,12,0.368,504.17,431,872,0.494,174,421,0.413,193,229,0.843,76,309,385,294,155,78,44,54,239,204,1229,66,2022,2213,3591,3414,712,722,770,1091,541,646,702,637,706,866,1150,805,874,657,4648,798,852,4645,4796,670,677,434,0.44488962056449216,2.769391177402306
Lineups,-1629661-1630549-,C. Johnson - D. Sharpe,C. Johnson,D. Sharpe,1610612751,BKN,33,11,22,0.333,214.11,179,401,0.446,67,185,0.362,83,96,0.865,68,141,209,129,65,31,21,24,102,89,508,31,1056,1599,4623,3545,1697,1693,1671,3132,1514,1547,2206,1552,1696,648,1285,1708,1596,1532,3636,1883,1669,3706,3854,1587,1648,743,0.5121199383494467,2.7506727637099093
Lineups,-1630533-1630549-,Z. Williams - D. Sharpe,Z. Williams,D. Sharpe,1610612751,BKN,32,10,22,0.313,221.44333333333333,180,403,0.447,63,172,0.366,77,94,0.819,64,144,208,115,65,43,30,27,97,84,500,24,1101,1717,4623,3795,1650,1690,1664,3120,1579,1644,2049,1653,1714,1305,1367,1671,1600,1663,3636,1440,1236,3858,3792,1657,1669,863,0.4533891288967833,2.4504197057508605
